contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
contig-0,1.35936833e+01,-9.44908242e-01,-6.90966655e+00,-4.27656892e-01,-7.66600533e-02,-2.72639948e-01,-6.50480196e-01,8.12020650e-01,6.05903068e-02,3.75622341e-01,1.14709713e+00,3.01273109e-01,2.23991207e-01,5.87097416e-01,3.99011999e-02,3.27897608e-03,-2.20298697e-01,1.61583123e-01,6.11667809e-01,1.43137698e-01,-2.68192787e-01,6.36422283e-02,1.17885517e-01,-4.60196908e-02,2.01536668e-02
contig-1000000,1.51857162e+01,5.65033625e-01,-7.00036870e+00,-5.96721990e-01,-7.79178589e-01,-3.15391556e-01,-1.19299625e+00,6.57881909e-01,-4.44977236e-01,9.46322995e-01,4.55003442e-01,3.35544834e-01,-5.38779417e-01,9.53553818e-01,-1.97165588e-01,-4.77550215e-01,-2.21057868e-01,1.05047452e-02,2.89255553e-01,-1.38433568e-01,3.04204796e-01,-3.30117073e-01,-2.65159093e-01,-2.35518812e-02,-1.78018335e-01
contig-2000000,1.42440460e+01,7.46630232e-01,-5.74852337e+00,-6.10201685e-01,-4.31175519e-01,-8.67193867e-02,-1.09779178e+00,6.37780629e-01,-4.96539426e-01,5.16122583e-01,3.61816723e-01,1.52275101e-01,-1.28222368e-01,2.39051005e-01,-2.25294073e-01,-1.93791158e-01,-3.45173303e-01,1.52376490e-01,-9.65771840e-02,-5.77188422e-02,1.37628733e-01,-1.07712508e-01,-4.67506265e-02,-4.73731462e-02,-2.18334835e-01
contig-3000000,1.28402850e+01,-1.11112190e+00,-6.25912319e+00,-5.72812321e-01,7.89778443e-02,-2.65369992e-01,-1.88578854e-01,5.43238815e-01,-4.26756724e-03,4.04182226e-01,9.67185053e-01,-5.44671954e-03,-1.67536419e-02,6.45720688e-01,4.40502628e-01,4.08430354e-02,4.93279763e-02,5.18336703e-02,1.73584371e-01,3.66651105e-01,-1.74630331e-01,-1.07325829e-01,1.61564065e-01,-9.90020488e-02,-5.08086141e-02
contig-4000000,1.38691417e+01,-3.98212277e-01,-6.54211400e+00,-4.81845792e-01,-2.41107210e-01,-1.04921793e-01,-8.73880975e-01,8.53429841e-01,5.18177664e-02,5.94008129e-01,1.03930873e+00,3.16354664e-01,5.23176082e-02,4.46899706e-01,7.69562152e-02,-1.28550060e-02,1.49858291e-01,2.20918855e-01,3.33066609e-01,7.80059948e-02,7.16496143e-02,2.09224270e-02,1.53516146e-01,5.25482273e-02,9.64343614e-02
contig-5000000,1.35884667e+01,-1.56614683e-01,-5.50321466e+00,-3.64245586e-01,-5.31416429e-01,2.03853793e-01,-4.73964856e-01,8.14359421e-01,2.97112783e-01,3.05858507e-01,7.10979660e-01,1.91981662e-01,9.58272674e-02,2.27999252e-01,6.80065731e-02,5.59338349e-02,-2.62466682e-01,-2.61276896e-02,5.75783696e-01,8.15773761e-02,4.06656060e-02,3.50634215e-02,4.43974947e-02,1.22142411e-01,7.37477065e-02
contig-6000000,-7.50628208e+00,1.03046013e+00,-5.24990518e+00,6.76129902e-01,-2.88716210e-01,-4.23314175e-01,7.28694468e-01,3.78858247e-01,-6.45723502e-02,8.75656084e-03,-2.41513823e-01,2.96736952e-01,-3.61595461e-02,1.51735747e-01,-1.39346296e-01,-9.25951703e-02,3.39453073e-01,1.89877707e-01,-4.33395776e-01,-6.60004563e-02,1.84672803e-01,-1.37991314e-01,-3.50126472e-02,2.02591873e-01,8.94810818e-02
contig-7000000,-6.14099237e+00,3.02692704e+00,-2.71072561e+00,3.35662673e-02,-2.83090766e-01,7.89403500e-02,5.41906473e-01,-5.78618321e-01,-2.06141334e-02,5.10267661e-01,-4.52885456e-01,9.40293697e-03,-1.74742172e-01,1.86330107e-01,-3.44889842e-01,-4.53956897e-01,-2.77592908e-01,4.17360042e-01,-5.30444594e-01,-9.27771008e-02,3.84722804e-01,-1.72772752e-01,-3.57574977e-01,-1.00998055e-01,4.41401722e-01
contig-8000000,-6.81663541e+00,1.73456722e+00,-4.22258286e+00,2.69356109e-01,-3.40549474e-01,5.81427984e-01,5.75191893e-01,2.75352911e-01,1.11244778e-01,-1.20217127e-01,-1.71841434e-01,2.41037720e-01,-8.19318023e-02,1.51310081e-01,-9.38136660e-02,-1.84026336e-01,3.18574527e-02,3.55985245e-01,-2.20718190e-01,-2.57450710e-01,-1.75348429e-02,-1.40855628e-02,-2.67534434e-02,2.35467145e-03,7.41043929e-03
contig-9000000,1.44429951e+01,1.61293509e+00,-4.74863385e+00,-6.10064248e-01,-8.49670327e-01,-1.52588316e-01,-1.13742596e+00,6.97648072e-01,-4.14222937e-01,5.34703318e-01,3.42401238e-01,3.14315342e-01,-4.30756879e-01,8.90370952e-02,-3.34142299e-01,-2.71512209e-01,-5.34498681e-01,-1.00552624e-01,1.37563761e-01,-2.51088643e-01,2.90395092e-01,-2.07482723e-01,-1.70418480e-01,-4.22561846e-02,-1.53745936e-01
