contig_id,cluster_id
contig-0,11
contig-1000000,11
contig-2000000,11
contig-3000000,11
contig-4000000,11
contig-5000000,11
contig-6000000,5
contig-7000000,5
contig-8000000,5
contig-9000000,11
contig-10000000,5
contig-11000000,5
contig-12000000,5
contig-13000000,11
contig-14000000,5
contig-15000000,5
contig-16000000,5
contig-17000000,11
contig-18000000,11
contig-19000000,5
contig-20000000,5
contig-21000000,11
contig-22000000,11
contig-23000000,11
contig-24000000,11
contig-25000000,11
contig-26000000,5
contig-27000000,11
contig-28000000,5
contig-29000000,5
contig-30000000,5
contig-31000000,5
contig-32000000,14
contig-33000000,5
contig-34000000,14
contig-35000000,11
contig-36000000,5
contig-37000000,5
contig-38000000,5
contig-39000000,5
contig-40000000,11
contig-41000000,5
contig-42000000,5
contig-43000000,5
contig-44000000,5
contig-45000000,11
contig-46000000,11
contig-47000000,5
contig-48000000,5
contig-49000000,5
contig-50000000,5
contig-51000000,5
contig-52000000,5
contig-53000000,5
contig-54000000,5
contig-55000000,5
contig-56000000,11
contig-57000000,5
contig-58000000,5
contig-59000000,5
contig-60000000,5
contig-61000000,5
contig-62000000,11
contig-63000000,11
contig-64000000,14
contig-65000000,5
contig-66000000,5
contig-67000000,5
contig-68000000,5
contig-69000000,11
contig-70000000,7
contig-71000000,7
contig-72000000,13
contig-73000000,14
contig-74000000,5
contig-75000000,5
contig-76000000,7
contig-77000000,1
contig-78000000,14
contig-79000000,7
contig-80000000,7
contig-81000000,11
contig-82000000,7
contig-83000000,7
contig-84000000,7
contig-85000000,5
contig-86000000,11
contig-87000000,7
contig-88000000,5
contig-89000000,7
contig-90000000,7
contig-91000000,5
contig-92000000,7
contig-93000000,5
contig-94000000,5
contig-95000000,5
contig-96000000,7
contig-97000000,7
contig-98000000,7
contig-99000000,5
contig-100000000,7
contig-101000000,7
contig-102000000,7
contig-103000000,7
contig-104000000,5
contig-105000000,11
contig-106000000,7
contig-107000000,7
contig-108000000,13
contig-109000000,7
contig-110000000,5
contig-111000000,7
contig-112000000,5
contig-113000000,5
contig-114000000,5
contig-115000000,5
contig-116000000,7
contig-117000000,7
contig-118000000,11
contig-119000000,7
contig-120000000,7
contig-121000000,7
contig-122000000,7
contig-123000000,7
contig-124000000,5
contig-125000000,5
contig-126000000,7
contig-127000000,9
contig-128000000,3
contig-129000000,7
contig-130000000,7
contig-131000000,13
contig-132000000,14
contig-133000000,7
contig-134000000,7
contig-135000000,5
contig-136000000,7
contig-137000000,7
contig-138000000,7
contig-139000000,7
contig-140000000,7
contig-141000000,7
contig-142000000,7
contig-143000000,7
contig-144000000,7
contig-145000000,5
contig-146000000,7
contig-147000000,7
contig-148000000,5
contig-149000000,7
contig-150000000,7
contig-151000000,7
contig-152000000,7
contig-153000000,7
contig-154000000,5
contig-155000000,7
contig-156000000,7
contig-157000000,5
contig-158000000,13
contig-159000000,7
contig-160000000,7
contig-161000000,7
contig-162000000,7
contig-163000000,7
contig-164000000,7
contig-165000000,7
contig-166000000,7
contig-167000000,5
contig-168000000,2
contig-169000000,7
contig-170000000,14
contig-171000000,7
contig-172000000,14
contig-173000000,7
contig-174000000,7
contig-175000000,7
contig-176000000,7
contig-177000000,5
contig-178000000,7
contig-179000000,5
contig-180000000,5
contig-181000000,7
contig-182000000,7
contig-183000000,7
contig-184000000,7
contig-185000000,7
contig-186000000,7
contig-187000000,7
contig-188000000,7
contig-189000000,7
contig-190000000,7
contig-191000000,5
contig-192000000,7
contig-193000000,7
contig-194000000,7
contig-195000000,14
contig-196000000,7
contig-197000000,7
contig-198000000,7
contig-199000000,7
contig-200000000,11
contig-201000000,7
contig-202000000,7
contig-203000000,7
contig-204000000,7
contig-205000000,12
contig-206000000,7
contig-207000000,7
contig-208000000,7
contig-209000000,3
contig-210000000,7
contig-211000000,7
contig-212000000,7
contig-213000000,7
contig-214000000,7
contig-215000000,7
contig-216000000,7
contig-217000000,7
contig-218000000,13
contig-219000000,7
contig-220000000,7
contig-221000000,5
contig-222000000,14
contig-223000000,7
contig-224000000,7
contig-225000000,7
contig-226000000,7
contig-227000000,7
contig-228000000,5
contig-229000000,7
contig-230000000,7
contig-231000000,5
contig-232000000,5
contig-233000000,7
contig-234000000,7
contig-235000000,7
contig-236000000,7
contig-237000000,7
contig-238000000,14
contig-239000000,7
contig-240000000,7
contig-241000000,5
contig-242000000,0
contig-243000000,2
contig-244000000,0
contig-245000000,7
contig-246000000,7
contig-247000000,7
contig-248000000,7
contig-249000000,11
contig-250000000,7
contig-251000000,7
contig-252000000,7
contig-253000000,7
contig-254000000,7
contig-255000000,7
contig-256000000,7
contig-257000000,7
contig-258000000,7
contig-259000000,8
contig-260000000,7
contig-261000000,7
contig-262000000,7
contig-263000000,7
contig-264000000,5
contig-265000000,9
contig-266000000,7
contig-267000000,10
contig-268000000,7
contig-269000000,7
contig-270000000,15
contig-271000000,7
contig-272000000,7
contig-273000000,7
contig-274000000,7
contig-275000000,7
contig-276000000,7
contig-277000000,5
contig-278000000,7
contig-279000000,7
contig-280000000,7
contig-281000000,7
contig-282000000,7
contig-283000000,7
contig-284000000,4
contig-285000000,7
contig-286000000,7
contig-287000000,5
contig-288000000,2
contig-289000000,7
contig-290000000,7
contig-291000000,7
contig-292000000,11
contig-293000000,7
contig-294000000,7
contig-295000000,5
contig-296000000,7
contig-297000000,7
contig-298000000,7
contig-299000000,7
contig-300000000,7
contig-301000000,7
contig-302000000,7
contig-303000000,7
contig-304000000,7
contig-305000000,7
contig-306000000,7
contig-307000000,7
contig-308000000,7
contig-309000000,7
contig-310000000,7
contig-311000000,7
contig-312000000,7
contig-313000000,7
contig-314000000,7
contig-315000000,11
contig-316000000,7
contig-317000000,7
contig-318000000,7
contig-319000000,7
contig-327000000,7
contig-338000000,11
contig-339000000,7
contig-349000000,7
contig-356000000,14
contig-359000000,7
contig-364000000,5
contig-377000000,14
contig-378000000,11
contig-384000000,5
contig-387000000,14
contig-402000000,5
contig-412000000,5
contig-444000000,14
contig-460000000,7
contig-467000000,5
contig-473000000,5
contig-475000000,11
contig-476000000,5
contig-483000000,5
contig-505000000,7
contig-527000000,5
contig-532000000,5
contig-536000000,5
contig-551000000,5
contig-552000000,11
contig-559000000,14
contig-584000000,5
contig-589000000,11
contig-592000000,5
contig-609000000,5
contig-666000000,5
contig-680000000,14
contig-684000000,14
contig-694000000,5
contig-717000000,5
contig-813000000,5
contig-815000000,5
contig-832000000,14
contig-859000000,11
contig-980000000,11
contig-1023000000,11
contig-1039000000,5
contig-1042000000,11
contig-1058000000,1
contig-1111000000,11
contig-1117000000,11
contig-1194000000,5
contig-1207000000,11
contig-1296000000,6
contig-1345000000,5
contig-1412000000,14
contig-1421000000,5
contig-1486000000,14
contig-1529000000,5
contig-1693000000,5
contig-1819000000,14
contig-1820000000,14
contig-1887000000,11
contig-1916000000,11
contig-1949000000,14
contig-2089000000,5
contig-2179000000,5
contig-2451000000,5
contig-2461000000,11
contig-2648000000,5
contig-2699000000,14
contig-2866000000,5
contig-2920000000,14
contig-2983000000,11
contig-3463000000,11
contig-3573000000,11
contig-3908000000,5
contig-3909000000,11
contig-3964000000,5
contig-4040000000,5
contig-4105000000,11
contig-4511000000,11
contig-4523000000,14
contig-4559000000,5
contig-4894000000,11
contig-4901000000,5
contig-4902000000,5
contig-4903000000,5
contig-4904000000,5
contig-4905000000,5
contig-4906000000,5
contig-4907000000,5
contig-4908000000,5
contig-4909000000,11
contig-4910000000,5
contig-4911000000,5
contig-4912000000,11
contig-4913000000,5
contig-4914000000,5
contig-4915000000,5
contig-4916000000,5
contig-4917000000,5
contig-4918000000,5
contig-4919000000,5
contig-4920000000,5
contig-4921000000,5
contig-4922000000,11
contig-4923000000,5
contig-4924000000,5
contig-4925000000,11
contig-4926000000,11
contig-4927000000,5
contig-4928000000,5
contig-4929000000,5
contig-4930000000,5
contig-4931000000,11
contig-4932000000,11
contig-4933000000,11
contig-4934000000,5
contig-4935000000,5
contig-4936000000,5
contig-4937000000,5
contig-4938000000,5
contig-4939000000,5
contig-4940000000,5
contig-4941000000,14
contig-4942000000,5
